"date","count","lang","page","rank","month","title"
2008-09-27,117,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-26,156,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-25,198,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-24,205,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-09,223,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-22,229,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-21,160,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-20,124,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-05,180,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-04,217,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-07,168,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-06,127,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-01,197,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-03,224,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-08,187,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-28,183,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-30,211,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-29,246,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-18,168,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-19,158,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-16,225,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-17,239,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-14,175,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-15,233,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-12,142,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-13,100,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-10,226,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-11,217,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-10-09,238,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-08,214,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-03,142,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-02,191,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-01,228,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-07,216,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-06,169,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-05,199,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-04,102,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-21,0,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-20,226,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-23,192,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-22,0,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-25,124,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-24,140,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-27,233,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-26,204,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-29,232,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-28,242,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-30,225,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-31,161,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-14,262,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-15,203,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-16,226,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-17,167,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-10,142,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-11,128,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-12,176,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
